,latitude,longitude,address
57112,31.217315,121.635295,31.217315-121.635295
57162,31.19907,121.517372,31.19907-121.517372
57276,31.212027,121.491516,31.212027-121.491516
57290,31.26905,121.627732,31.26905-121.627732
57311,31.200248,121.474414,31.200248-121.474414
57628,31.203019,121.443614,31.203019-121.443614
57645,31.19979,121.389906,31.19979-121.389906
58071,31.223297,121.430839,31.223297-121.430839
59481,31.195623,121.398393,31.195623-121.398393
59613,31.18713,121.451332,31.18713-121.451332
59779,31.1634,121.396418,31.1634-121.396418
59896,31.200293,121.400145,31.200293-121.400145
59915,31.172866,121.434994,31.172866-121.434994
59936,31.182725,121.41492,31.182725-121.41492
59938,31.189366,121.443482,31.189366-121.443482
60022,31.175943,121.424363,31.175943-121.424363
60024,31.223411,121.428559,31.223411-121.428559
60179,31.183064,121.407773,31.183064-121.407773
60445,31.220424,121.383546,31.220424-121.383546
60446,31.234105,121.34044,31.234105-121.34044
60455,31.236742,121.385193,31.236742-121.385193
60618,31.211337,121.413801,31.211337-121.413801
60756,31.20694,121.459659,31.20694-121.459659
60762,31.211846,121.475732,31.211846-121.475732
60765,31.223117,121.504741,31.223117-121.504741
60767,31.196975,121.440602,31.196975-121.440602
60777,31.188332,121.405187,31.188332-121.405187
60947,31.182122,121.377455,31.182122-121.377455
60983,31.180526,121.349428,31.180526-121.349428
61151,31.198268,121.383605,31.198268-121.383605
62928,31.260723,121.490166,31.260723-121.490166
63159,31.256767,121.438713,31.256767-121.438713
63160,31.260365,121.454262,31.260365-121.454262
63164,31.280091,121.519684,31.280091-121.519684
63444,31.25142,121.449186,31.25142-121.449186
63445,31.266257,121.506521,31.266257-121.506521
63494,31.268884,121.44402,31.268884-121.44402
63496,31.292709,121.497635,31.292709-121.497635
63685,31.2798,121.459715,31.2798-121.459715
63705,31.267528,121.490264,31.267528-121.490264
63706,31.325552,121.473746,31.325552-121.473746
63709,31.31764,121.496784,31.31764-121.496784
63710,31.290502,121.434311,31.290502-121.434311
63804,30.442177,120.618727,30.442177-120.618727
63822,31.256807,121.518545,31.256807-121.518545
63898,31.278711,121.514214,31.278711-121.514214
64092,31.30361,121.492602,31.30361-121.492602
64121,31.252347,121.459317,31.252347-121.459317
64122,31.307814,121.504168,31.307814-121.504168
64128,31.296619,121.497055,31.296619-121.497055
64167,31.247026,121.448423,31.247026-121.448423
64168,31.251005,121.418683,31.251005-121.418683
64234,31.268106,121.49354,31.268106-121.49354
64334,31.250978,121.44639,31.250978-121.44639
64405,31.290758,121.514018,31.290758-121.514018
64559,31.268862,121.434292,31.268862-121.434292
64566,31.302901,121.553485,31.302901-121.553485
64813,31.279258,121.474153,31.279258-121.474153
64952,31.289072,121.481426,31.289072-121.481426
65122,30.872829,121.424028,30.872829-121.424028
65323,31.045319,121.846169,31.045319-121.846169
65631,30.897457,121.36324,30.897457-121.36324
65637,30.852916,121.364997,30.852916-121.364997
66135,30.889354,121.488288,30.889354-121.488288
66841,31.062883,121.744224,31.062883-121.744224
66877,30.898128,121.536836,30.898128-121.536836
66913,30.956486,121.40597,30.956486-121.40597
67433,31.054051,121.741771,31.054051-121.741771
67530,30.931335,121.472783,30.931335-121.472783
67531,31.039851,121.603151,31.039851-121.603151
67560,30.815977,121.436091,30.815977-121.436091
67942,31.206573,121.701043,31.206573-121.701043
68080,30.85104,121.524116,30.85104-121.524116
68247,31.156454,121.815297,31.156454-121.815297
68524,31.155148,121.597536,31.155148-121.597536
68530,31.139017,121.545465,31.139017-121.545465
68566,31.299376,121.670896,31.299376-121.670896
68961,31.267542,121.685192,31.267542-121.685192
69022,31.281994,121.631556,31.281994-121.631556
69431,30.991693,121.639711,30.991693-121.639711
69525,31.358732,121.508333,31.358732-121.508333
69556,30.841016,121.482504,30.841016-121.482504
69637,30.918525,121.74387,30.918525-121.74387
69645,30.903899,121.906187,30.903899-121.906187
69646,30.869886,121.901843,30.869886-121.901843
69781,30.978325,121.70767,30.978325-121.70767
69948,30.921604,121.471336,30.921604-121.471336
69950,30.781368,121.418953,30.781368-121.418953
70172,30.963144,121.39936,30.963144-121.39936
70235,30.876032,121.466173,30.876032-121.466173
70490,30.935874,121.692581,30.935874-121.692581
70502,31.327041,121.661258,31.327041-121.661258
70633,31.242039,121.687875,31.242039-121.687875
70683,31.298712,121.617334,31.298712-121.617334
70722,31.21138,121.728982,31.21138-121.728982
73251,31.230406,121.482326,31.230406-121.482326
73311,31.245183,121.484965,31.245183-121.484965
73317,31.312979,121.545236,31.312979-121.545236
73760,31.234737,121.513936,31.234737-121.513936
73786,31.216659,121.391301,31.216659-121.391301
73809,31.224855,121.480154,31.224855-121.480154
73973,31.245488,121.513767,31.245488-121.513767
74032,31.246371,121.513215,31.246371-121.513215
74086,31.242082,121.522779,31.242082-121.522779
74090,31.245005,121.517227,31.245005-121.517227
74114,31.247971,121.513421,31.247971-121.513421
74119,31.244701,121.514543,31.244701-121.514543
74137,31.237926,121.46594,31.237926-121.46594
74142,31.23537,121.522706,31.23537-121.522706
74157,31.223017,121.465143,31.223017-121.465143
74235,31.24018,121.506063,31.24018-121.506063
74342,31.236197,121.485283,31.236197-121.485283
74348,31.235341,121.477273,31.235341-121.477273
74349,31.241242,121.517216,31.241242-121.517216
74376,31.211757,121.46438,31.211757-121.46438
74393,31.197512,121.470198,31.197512-121.470198
74437,31.222328,121.461659,31.222328-121.461659
74439,31.279562,121.467095,31.279562-121.467095
74470,31.271455,121.513192,31.271455-121.513192
74473,31.227544,121.537532,31.227544-121.537532
74484,31.203981,121.483421,31.203981-121.483421
74493,31.238774,121.496149,31.238774-121.496149
74518,31.216686,121.493011,31.216686-121.493011
74552,31.239474,121.495166,31.239474-121.495166
74560,31.150587,121.499019,31.150587-121.499019
74806,31.233051,121.455285,31.233051-121.455285
74818,31.240661,121.512436,31.240661-121.512436
74833,31.22278,121.450373,31.22278-121.450373
74840,31.231328,121.487479,31.231328-121.487479
74841,31.236531,121.491325,31.236531-121.491325
74878,31.241765,121.496726,31.241765-121.496726
74888,31.242967,121.51048,31.242967-121.51048
74933,31.207094,121.713617,31.207094-121.713617
74937,31.239615,121.489026,31.239615-121.489026
74939,31.236576,121.465894,31.236576-121.465894
74940,31.234168,121.473173,31.234168-121.473173
74942,31.225477,121.448153,31.225477-121.448153
74966,31.243213,121.504331,31.243213-121.504331
74967,31.222754,121.459663,31.222754-121.459663
74986,31.244931,121.50832,31.244931-121.50832
75057,31.236339,121.52576,31.236339-121.52576
75060,31.243917,121.496829,31.243917-121.496829
75061,31.229151,121.484838,31.229151-121.484838
75063,31.236173,121.466734,31.236173-121.466734
75166,31.229203,121.449776,31.229203-121.449776
76628,31.188258,121.301297,31.188258-121.301297
78594,31.10346,121.419988,31.10346-121.419988
78745,30.975347,121.032558,30.975347-121.032558
78870,31.098201,121.323149,31.098201-121.323149
78888,30.990222,121.082742,30.990222-121.082742
79170,31.121996,121.393805,31.121996-121.393805
79262,31.140348,121.210964,31.140348-121.210964
79380,30.918528,121.113765,30.918528-121.113765
80314,30.967758,121.08302,30.967758-121.08302
80426,30.979419,121.022464,30.979419-121.022464
80553,31.143681,121.353698,31.143681-121.353698
80838,30.94469,121.299291,30.94469-121.299291
81175,31.10221,121.277743,31.10221-121.277743
